group,name,detail,bytes,ngram_n,windows,unique_ngrams,block_size,blocks,unique_blocks,repeated_blocks,repeated_block_kinds,repeat_ratio,entropy_bits,max_entropy_bits,kl_to_uniform,kl_plain_to_method,kl_method_to_plain,series
modern-ngram,AES-128,ECB,54384,4,54381,54381,,,,,,,15.730815060551262,32,11.27693967078722,18.103627134215454,16.727251008802433,AES-128 ECB
modern-ngram,AES-128,CBC,54384,4,54381,54381,,,,,,,15.730815060551262,32,11.27693967078722,18.103627134215454,16.727251008802433,AES-128 CBC
modern-ngram,AES-128,CTR,54368,4,54365,54365,,,,,,,15.730390527771732,32,11.277233934486398,18.103627134215454,16.72754527250027,AES-128 CTR
modern-ngram,AES-128,CFB,54368,4,54365,54364,,,,,,,15.730353739396858,32,11.27725943424472,18.103627134215454,16.727570772258588,AES-128 CFB
modern-ngram,AES-128,OFB,54368,4,54365,54365,,,,,,,15.730390527771732,32,11.277233934486398,18.103627134215454,16.72754527250027,AES-128 OFB
modern-ngram,AES-256,ECB,54384,4,54381,54378,,,,,,,15.730704727898313,32,11.277016147554535,18.103011765834733,16.72700714036732,AES-256 ECB
modern-ngram,AES-256,CBC,54384,4,54381,54380,,,,,,,15.730778283000278,32,11.276965163042991,18.103627134215454,16.727276501058203,AES-256 CBC
modern-ngram,AES-256,CTR,54368,4,54365,54365,,,,,,,15.730390527771732,32,11.277233934486398,18.103627134215454,16.72754527250027,AES-256 CTR
modern-ngram,AES-256,CFB,54368,4,54365,54365,,,,,,,15.730390527771732,32,11.277233934486398,18.103319444612353,16.727237582897168,AES-256 CFB
modern-ngram,AES-256,OFB,54368,4,54365,54365,,,,,,,15.730390527771732,32,11.277233934486398,18.103627134215454,16.72754527250027,AES-256 OFB
modern-ngram,DES,ECB,54376,4,54373,54353,,,,,,,15.729867150534433,32,11.277596711942806,18.103627134215454,16.72790804994129,DES ECB
modern-ngram,DES,CBC,54376,4,54373,54373,,,,,,,15.730602809777071,32,11.277086791812918,18.103627134215454,16.72739812981139,DES CBC
modern-ngram,DES,CFB,54368,4,54365,54365,,,,,,,15.730390527771732,32,11.277233934486398,18.103627134215454,16.72754527250027,DES CFB
modern-ngram,DES,OFB,54368,4,54365,54365,,,,,,,15.730390527771732,32,11.277233934486398,18.103627134215454,16.72754527250027,DES OFB
modern-ngram,3DES,ECB,54376,4,54373,54352,,,,,,,15.729830367572301,32,11.2776222079493,18.103627134215454,16.72793354594779,3DES ECB
modern-ngram,3DES,CBC,54376,4,54373,54373,,,,,,,15.730602809777071,32,11.277086791812918,18.103627134215454,16.72739812981139,3DES CBC
modern-ngram,3DES,CFB,54368,4,54365,54365,,,,,,,15.730390527771732,32,11.277233934486398,18.103627134215454,16.72754527250027,3DES CFB
modern-ngram,3DES,OFB,54368,4,54365,54365,,,,,,,15.730390527771732,32,11.277233934486398,18.103627134215454,16.72754527250027,3DES OFB
